id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo,Sexo
296,ECUATORIANA,,,,,,,,18,HOMBRE
297,ECUATORIANA,,,,,,,,22,HOMBRE
298,ECUATORIANA,,,,,,,,46,HOMBRE
299,ECUATORIANA,,,,,,,,28,HOMBRE
300,ECUATORIANA,,,,,,,,28,HOMBRE
301,ECUATORIANA,,,,,,,,27,HOMBRE
302,ECUATORIANA,,,,,,,,19,HOMBRE
303,ECUATORIANA,,,,,,,,22,HOMBRE
304,ECUATORIANA,,,,,,,,33,HOMBRE
305,ECUATORIANA,,,,,,,,36,HOMBRE
306,ECUATORIANA,,,,,,,,37,MUJER
307,ECUATORIANA,,,,,,,,71,MUJER
308,ECUATORIANA,,,,,,,,35,HOMBRE
309,ECUATORIANA,,,,,,,,21,MUJER
310,ECUATORIANA,,,,,,,,23,HOMBRE
311,ECUATORIANA,,,,,,,,22,HOMBRE
312,ECUATORIANA,,,,,,,,22,HOMBRE
313,ECUATORIANA,,,,,,,,29,HOMBRE
314,ECUATORIANA,,,,,,,,21,HOMBRE
315,ECUATORIANA,,,,,,,,28,HOMBRE
316,ECUATORIANA,,,,,,,,53,HOMBRE
317,ECUATORIANA,,,,,,,,39,HOMBRE
318,ECUATORIANA,,,,,,,,49,HOMBRE
319,ECUATORIANA,,,,,,,,43,HOMBRE
320,ECUATORIANA,,,,,,,,34,HOMBRE
321,ECUATORIANA,,,,,,,,23,HOMBRE
322,ECUATORIANA,,,,,,,,41,HOMBRE
323,ECUATORIANA,,,,,,,,30,HOMBRE
324,ECUATORIANA,,,,,,,,,HOMBRE
325,ECUATORIANA,,,,,,,,24,HOMBRE
326,ECUATORIANA,,,,,,,,17,HOMBRE
327,ECUATORIANA,,,,,,,,43,HOMBRE
328,,,,,,,,,,HOMBRE
329,ECUATORIANA,,,,,,,,56,HOMBRE
330,ECUATORIANA,,,,,,,,33,HOMBRE
331,ECUATORIANA,,,,,,,,38,HOMBRE
332,ECUATORIANA,,,,,,,,22,HOMBRE
333,ECUATORIANA,,,,,,,,31,HOMBRE
334,ECUATORIANA,,,,,,,,24,HOMBRE
335,ECUATORIANA,,,,,,,,26,HOMBRE
336,ECUATORIANA,,,,,,,,33,HOMBRE
337,ECUATORIANA,,,,,,,,27,HOMBRE
338,ECUATORIANA,,,,,,,,23,HOMBRE
339,ECUATORIANA,,,,,,,,,HOMBRE
340,ECUATORIANA,,,,,,,,28,HOMBRE
341,ECUATORIANA,,,,,,,,22,HOMBRE
342,ECUATORIANA,,,,,,,,,HOMBRE
343,ECUATORIANA,,,,,,,,25,HOMBRE
344,ECUATORIANA,,,,,,,,29,HOMBRE
345,ECUATORIANA,,,,,,,,17,HOMBRE
346,ECUATORIANA,,,,,,,,23,HOMBRE
347,ECUATORIANA,,,,,,,,25,HOMBRE
348,ECUATORIANA,,,,,,,,33,HOMBRE
349,ECUATORIANA,,,,,,,,25,HOMBRE
350,ECUATORIANA,,,,,,,,42,HOMBRE
351,ECUATORIANA,,,,,,,,19,HOMBRE
352,ECUATORIANA,,,,,,,,37,HOMBRE
353,ECUATORIANA,,,,,,,,34,HOMBRE
354,ECUATORIANA,,,,,,,,50,HOMBRE
355,ECUATORIANA,,,,,,,,,HOMBRE
356,ECUATORIANA,,,,,,,,34,HOMBRE
357,ECUATORIANA,,,,,,,,37,HOMBRE
358,ECUATORIANA,,,,,,,,37,HOMBRE
359,ECUATORIANA,,,,,,,,39,HOMBRE
360,ECUATORIANA,,,,,,,,,HOMBRE
361,ECUATORIANA,,,,,,,,52,HOMBRE
362,ECUATORIANA,,,,,,,,54,HOMBRE
363,ECUATORIANA,,,,,,,,26,HOMBRE
364,ECUATORIANA,,,,,,,,54,HOMBRE
365,ECUATORIANA,,,,,,,,24,HOMBRE
366,ECUATORIANA,,,,,,,,29,HOMBRE
367,ECUATORIANA,,,,,,,,40,HOMBRE
368,ECUATORIANA,,,,,,,,32,HOMBRE
369,ECUATORIANA,,,,,,,,26,HOMBRE
370,ECUATORIANA,,,,,,,,17,HOMBRE
371,ECUATORIANA,,,,,,,,40,HOMBRE
372,ECUATORIANA,,,,,,,,48,HOMBRE
373,ECUATORIANA,,,,,,,,37,HOMBRE
374,ECUATORIANA,,,,,,,,35,MUJER
375,ECUATORIANA,,,,,,,,23,HOMBRE
376,ECUATORIANA,,,,,,,,32,HOMBRE
377,ECUATORIANA,,,,,,,,44,HOMBRE
378,ECUATORIANA,,,,,,,,21,HOMBRE
379,ECUATORIANA,,,,,,,,48,HOMBRE
380,ECUATORIANA,,,,,,,,22,HOMBRE
381,ECUATORIANA,,,,,,,,,HOMBRE
382,ECUATORIANA,,,,,,,,30,HOMBRE
383,ECUATORIANA,,,,,,,,22,MUJER
384,ECUATORIANA,,,,,,,,28,HOMBRE
385,ECUATORIANA,,,,,,,,48,HOMBRE
386,ECUATORIANA,,,,,,,,48,HOMBRE
387,ECUATORIANA,,,,,,,,29,HOMBRE
388,ECUATORIANA,,,,,,,,,HOMBRE
389,ECUATORIANA,,,,,,,,45,MUJER
390,ECUATORIANA,,,,,,,,43,HOMBRE
391,ECUATORIANA,,,,,,,,22,HOMBRE
392,ECUATORIANA,,,,,,,,55,HOMBRE
393,ECUATORIANA,,,,,,,,42,HOMBRE
394,ECUATORIANA,,,,,,,,46,HOMBRE
395,ECUATORIANA,,,,,,,,21,HOMBRE
396,ECUATORIANA,,,,,,,,32,HOMBRE
397,ECUATORIANA,,,,,,,,35,HOMBRE
398,ECUATORIANA,,,,,,,,20,HOMBRE
399,ECUATORIANA,,,,,,,,32,HOMBRE
400,ECUATORIANA,,,,,,,,15,MUJER
401,ECUATORIANA,,,,,,,,27,HOMBRE
402,ECUATORIANA,,,,,,,,22,HOMBRE
403,ECUATORIANA,,,,,,,,44,HOMBRE
404,COLOMBIANA,,,,,,,,,HOMBRE
405,ECUATORIANA,,,,,,,,44,HOMBRE
406,ECUATORIANA,,,,,,,,62,HOMBRE
407,ECUATORIANA,,,,,,,,33,HOMBRE
408,ECUATORIANA,,,,,,,,26,HOMBRE
409,ECUATORIANA,,,,,,,,20,HOMBRE
410,ECUATORIANA,,,,,,,,23,HOMBRE
411,ECUATORIANA,,,,,,,,20,HOMBRE
412,ECUATORIANA,,,,,,,,21,HOMBRE
413,ECUATORIANA,,,,,,,,30,HOMBRE
414,ECUATORIANA,,,,,,,,31,HOMBRE
415,COLOMBIANA,,,,,,,,,HOMBRE
416,ECUATORIANA,,,,,,,,54,HOMBRE
417,ECUATORIANA,,,,,,,,31,HOMBRE
418,ECUATORIANA,,,,,,,,27,HOMBRE
419,ECUATORIANA,,,,,,,,52,HOMBRE
420,ECUATORIANA,,,,,,,,34,HOMBRE
421,ECUATORIANA,,,,,,,,33,HOMBRE
422,ECUATORIANA,,,,,,,,42,HOMBRE
423,ECUATORIANA,,,,,,,,22,HOMBRE
424,ECUATORIANA,,,,,,,,26,HOMBRE
425,ECUATORIANA,,,,,,,,22,HOMBRE
426,ECUATORIANA,,,,,,,,48,HOMBRE
427,ECUATORIANA,,,,,,,,45,HOMBRE
428,ECUATORIANA,,,,,,,,34,HOMBRE
429,ECUATORIANA,,,,,,,,20,HOMBRE
430,ECUATORIANA,,,,,,,,34,HOMBRE
431,ECUATORIANA,,,,,,,,37,MUJER
432,ECUATORIANA,,,,,,,,21,HOMBRE
433,ECUATORIANA,,,,,,,,44,HOMBRE
434,ECUATORIANA,,,,,,,,29,HOMBRE
435,ECUATORIANA,,,,,,,,24,HOMBRE
436,COLOMBIANA,,,,,,,,,HOMBRE
437,ECUATORIANA,,,,,,,,31,HOMBRE
438,ECUATORIANA,,,,,,,,27,HOMBRE
439,ECUATORIANA,,,,,,,,16,HOMBRE
440,,,,,,,,,,HOMBRE
441,ECUATORIANA,,,,,,,,16,HOMBRE
442,ECUATORIANA,,,,,,,,,HOMBRE
443,ECUATORIANA,,,,,,,,43,HOMBRE
444,ECUATORIANA,,,,,,,,33,HOMBRE
445,ECUATORIANA,,,,,,,,21,HOMBRE
446,ECUATORIANA,,,,,,,,61,HOMBRE
447,ECUATORIANA,,,,,,,,21,HOMBRE
448,ECUATORIANA,,,,,,,,34,HOMBRE
449,ECUATORIANA,,,,,,,,20,HOMBRE
450,ECUATORIANA,,,,,,,,52,HOMBRE
451,ECUATORIANA,,,,,,,,57,HOMBRE
452,ECUATORIANA,,,,,,,,37,HOMBRE
453,ECUATORIANA,,,,,,,,16,HOMBRE
454,ECUATORIANA,,,,,,,,18,HOMBRE
455,ECUATORIANA,,,,,,,,36,HOMBRE
456,ECUATORIANA,,,,,,,,19,HOMBRE
457,ECUATORIANA,,,,,,,,75,HOMBRE
458,ECUATORIANA,,,,,,,,48,HOMBRE
459,ECUATORIANA,,,,,,,,32,HOMBRE
460,ECUATORIANA,,,,,,,,24,HOMBRE
461,ECUATORIANA,,,,,,,,22,MUJER
462,ECUATORIANA,,,,,,,,22,HOMBRE
463,ECUATORIANA,,,,,,,,46,HOMBRE
464,ECUATORIANA,,,,,,,,22,HOMBRE
465,ECUATORIANA,,,,,,,,34,HOMBRE
466,ECUATORIANA,,,,,,,,40,MUJER
467,ECUATORIANA,,,,,,,,29,HOMBRE
468,ECUATORIANA,,,,,,,,30,HOMBRE
469,ECUATORIANA,,,,,,,,51,HOMBRE
470,ECUATORIANA,,,,,,,,33,HOMBRE
471,ECUATORIANA,,,,,,,,28,HOMBRE
472,ECUATORIANA,,,,,,,,42,HOMBRE
473,ECUATORIANA,,,,,,,,34,HOMBRE
474,ECUATORIANA,,,,,,,,61,HOMBRE
475,ECUATORIANA,,,,,,,,34,HOMBRE
476,ECUATORIANA,,,,,,,,39,HOMBRE
477,ECUATORIANA,,,,,,,,28,MUJER
478,ECUATORIANA,,,,,,,,43,HOMBRE
479,ECUATORIANA,,,,,,,,28,HOMBRE
480,ECUATORIANA,,,,,,,,36,HOMBRE
481,ECUATORIANA,,,,,,,,25,HOMBRE
482,ECUATORIANA,,,,,,,,16,MUJER
483,ECUATORIANA,,,,,,,,60,HOMBRE
484,ECUATORIANA,,,,,,,,19,HOMBRE
485,ECUATORIANA,,,,,,,,41,HOMBRE
486,ECUATORIANA,,,,,,,,22,HOMBRE
487,COLOMBIANA,,,,,,,,22,HOMBRE
488,COLOMBIANA,,,,,,,,,MUJER
489,MEXICANA,,,,,,,,,HOMBRE
490,ECUATORIANA,,,,,,,,31,HOMBRE
491,ECUATORIANA,,,,,,,,34,MUJER
492,ECUATORIANA,,,,,,,,27,HOMBRE
493,ECUATORIANA,,,,,,,,23,HOMBRE
494,ECUATORIANA,,,,,,,,22,HOMBRE
495,ECUATORIANA,,,,,,,,20,HOMBRE
